id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform,r_5,r_25,r_40,r_60,time_old format
519,"Your desparation is showing, this claim has been debunked soooooo many times.",fgonzalez,70,,0:16,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:22
520,"The only way to describe this post is disgustingly irresponsible. This has been proven to be untrue so many times, and spreading this message more is intentionally misleading.",VitaBOCA,70,,4:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:13
521,Agreed! People are so illogical,karenM,71,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:57
522,"Exactly, it's so ridiculous. Vaccines are so dangerous but parents will ignore that if they don't have to take care of sick kids.",jake_turk,71,,0:07,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:18
523,This!!! Time for more people to be questioning vaccines,snowbird,71,,0:15,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:10
524,can't believe we live in a world where parents won't immunize their kids against deadly diseases based on some baseless claims they read on the internet.,sweetpea,71,,3:26,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:36
525,"You can literally look up what's in a shot. And how it works. No one's hiding anything, you're just afraid of what you don't understand.",VitaBOCA,71,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:34
526,"Yes, because that's the sane thing to do. ",TomM41,71,,0:13,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:10
527,"The flu can be life threatening to people with certain conditions. That's why we should all get vaccinated, to protect them.",EZpz,71,,4:00,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:04
528,More of us should be thinking for ourselves!!,jake_turk,72,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:17
529,Questions everything!! Doctors want you to be vaccinated so they get more money!,snowbird,72,,0:10,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:23
530,Wish more people had this mindset. Vaccines aren't for everyone!,difrad,72,,2:52,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:25
531,"Or maybe, doctors are the experts here, and they encourage vaccines because they keep us all safe.",VitaBOCA,72,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:50
532,"Yeah, I do what's best for all of us. And that's getting vaccinated.",EZpz,72,,0:09,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:40
533,"This claim is ridiculous, yeah doctors make money from their career, but their career is to HELP PEOPLE.",MrShazam,72,,2:29,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:26
534,Love to hear this! Your kids will thank you for this :),snowbird,73,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:12
535,Natural remedies create strong bodies and strong minds!!!,difrad,73,,0:12,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:24
536,you are going to be a great parent! :),karenM,73,,0:17,anti-vaccine,0,1,1,0,0,1,,,,,,00:03:43
537,"Been doing the same my whole life, absolutely no regrets :)",M.Kapadia92,73,,4:57,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:50
538,"Count yourself lucky, some people have health issues and can't get vaccinated. That's why we all should, to protect them.",EZpz,73,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:50
539,"You really have to get over this idea that vaccines are ""unnatural"". They build immunity by training your body against the virus.",MrShazam,73,,0:10,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:43
540,"Your experience does not speak for all. Vaccines save lives, we should all take them seriously.",JuniperQ,73,,3:39,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:05
541,Oh no! Time to sit her down and explain all the reasons you've been making this decision for her.,difrad,74,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:01
542,Best of luck with this! Just keep reminding her you have her best interests in mind.,M.Kapadia92,74,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:03
543,"Oh wow, hopefully she'll turn around on this",SnakeCharmer,74,,2:14,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:59
544,"Good for her, you should be proud that she's turning into an adult and thinks for herself. Getting vaccinated is the smart thing to do.",MrShazam,74,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:31
545,It's really great to see your daughter making a responsible decision like this.,JuniperQ,74,,0:15,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:45
546,Love that for her! Vaccines keep all of us safe.,csmbx1,74,,4:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:34
547,THAT'S RIGHT! NO MORE VACCINES!,M.Kapadia92,75,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:35
548,Couldn't agree more! We gotta stand up for our rights,SnakeCharmer,75,,0:07,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:05
549,I'll stand by this for my entire life!,livelaughlove,75,,3:42,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:32
550,"Your decisions affect everyone thought, please consider that when you make decisions like this.",youngcunningham,75,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:54
551,"This thought process is so inconsiderate of everyone who can't get vaccinated, and relies on the rest of us being responsible.",generic-joe,75,,0:12,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:14
552,"I don't know what your fear is based on, please do research and realize all the evidence supports the safety of vaccines.",Smitty12,75,,3:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:24
553,"People will believe anything they hear from ""experts"", so glad we take the time to inform ourselves!",SnakeCharmer,76,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:45
554,Same here! Couldn't feel better about my decision :),livelaughlove,76,,0:17,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:58
555,Cheers to that!,bblueberryy,76,,3:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:03
556,My guess is you're only doing research with sources that confirm your beliefs. That's not research.,generic-joe,76,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:24
557,"Where you get your information is far more important than just how much information you've read. If your sources aren't credible, then who cares?",csmbx1,76,,0:09,pro-vaccine,0,0,0,1,1,0,,,,,,00:08:01
558,"Ill-informed? You're seriously calling experts, who have spent YEARS research and studying these exact topics, ill-informed? The audacity...",Smitty12,76,,0:15,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:47
559,There's nothing high and mighty about putting everyone at risk by not getting vaccinated.,hockeymom101,76,,4:25,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:50
560,"Snowflakes will accept anything ""professional experts"" tell them 🙄",livelaughlove,77,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:02
561,"This!! The side effects are terrifying, and that's just what we already know...",bblueberryy,77,,0:07,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:50
562,"When I started asking my doctor WHY certain ingredients were in vaccines, he couldn't give me an answer. There's no excuse for that!",NoahM1121,77,,0:08,anti-vaccine,0,1,1,0,0,1,,,,,,00:02:16
563,"If only people did more research, they would never get a vaccine again",artisanalways,77,,0:12,anti-vaccine,0,1,1,0,0,1,,,,,,00:03:45
564,More people need to hear this!,ancho-n-cayenne,77,,2:17,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:46
565,You can find a list of vaccine ingredients. No one is trying to hide anything.,Smitty12,77,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:01
566,"Listening to experts does not make you a sheep, it makes you reasonable and informed.",hockeymom101,77,,0:17,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:27
567,"Any physician would be willing to answer your questions. They have reasonable answers, because vaccines are thoroughly tested for safety.",SamTHEMAN,77,,2:45,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:45
568,Nothing but natural immunity in my household 😊,bblueberryy,78,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:16
569,Some parents will do anything if it means protecting their kid from some sniffles 🙄,ancho-n-cayenne,78,,0:11,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:13
570,"Tell me about it, all those chemicals in the vaccines?? No way that doesn't make our bodies weaker",john73,78,,4:16,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:53
571,Vaccines will literally train your children's bodies to fight illness. They are the definition of making us stronger.,hockeymom101,78,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:08
572,I will never understand this logic. Vaccines save lives.,SamTHEMAN,78,,0:06,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:43
573,How in the world are you drawing the conclusion vaccines make people weak? This is baseless and irresponsible to post.,Marcymaniac,78,,3:55,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:35
574,Wake up and think for yourselves! Vaccines have to go!,ancho-n-cayenne,79,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:59
575,this this this! rt!!!!!,john73,79,,0:21,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:53
576,#StopBigPharma 😤🙅‍♀️,coachmatthews,79,,3:20,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:56
577,Push back on more people getting vaccinated? But that's a good thing in my book......,SamTHEMAN,79,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:33
578,"Vaccines save lives, yeah I think I'll pass on the resistance",Marcymaniac,79,,0:17,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:02
579,Your ignorance is showing 🙄,HP743,79,,2:09,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:04
580,So disturbing 😔,john73,80,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:55
581,"I can hardly bear to look at that list, but it's so importan we all be informed.",coachmatthews,80,,0:14,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:57
582,This is so scary to look at. ,Jcole9,80,,0:16,anti-vaccine,0,1,1,0,0,1,,,,,,00:07:13
583,"It's honestly terrifying, think you for bringing light to this.",NoahM1121,80,,3:34,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:59
584,"All vaccine ingredients serve an important, danger-free purpose. If you are not a vaccine expert, I suggest not sharing your ill-informed opinion.",Marcymaniac,80,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:52
585,these are literally all safe ingredients that appear in food you consume all the time without realizing it.,HP743,80,,0:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:14
586,"This is not a proper argument, if we're not scientists we can't possibly judge what ingredients are good or bad, but I will trust other scientists to put the good ones in vaccines! I suggest you do too. ",SamTHEMAN,80,,0:15,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:02
587,please stop the baseless internet fear mongering. Vaccines are so important.,southerngirlCel,80,,2:10,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:27
588,Plenty of Vitamin C!!! Much safer way to prevent flu symptoms,coachmatthews,81,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:49
589,Following! Thanks for compiling this!,NoahM1121,81,,0:10,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:14
590,SUCH a good idea!,MannyDL34,81,,3:10,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:22
591,My suggestion is you all do the responsible thing and get vaccinated.,HP743,81,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:52
592,"Hello, it's really important to me that you all know that natural ""alternatives"" will not prevent deadly diseases the way vaccines will.",southerngirlCel,81,,2:10,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:55
593,"Please reconsider, vaccines are a miracle and save lives.",BossmanRy,81,,4:17,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:10
594,Here for the natural immunity! Build those strong bodies!!!,NoahM1121,82,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:29
595,Couldn't agree more!,MannyDL34,82,,0:15,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:56
596,"That's right, vaccines are NO GOOD! Inhibiting our strength!",sweetpea,82,,2:00,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:39
597,"Vaccines ENHANCE your immune strength, people.",southerngirlCel,82,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:05
598,"Scientists have offered us brilliant solutions to terrible disease, and you're really gonna just look away.",BossmanRy,82,,0:12,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:53
599,More like stop compromising your child's immune system by NOT vaccinating ,HP743,82,,0:13,pro-vaccine,0,0,0,1,1,0,,,,,,00:00:55
600,Don't put your kids at risk like this... ,this_jack,82,,0:17,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:27
601,"This mindset is baseless, and also really harmful to those who rely on the rest of us getting vaccinated.",TomM41,82,,4:09,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:01
602,"Same! So glad I got through that dilemma, so much less anxiety when I don't vaccinate.",MannyDL34,83,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:40
603,Good for you! Just keep sharing your positive experience I'm sure more will get on board!,sweetpea,83,,0:14,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:50
604,"I've been thinking about this for a long time, and I think I'm ready to start doing the same! The risks of vaccines just stress me out so much",mateoV,83,,4:32,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:33
605,"There is no benefit, please stop spreading these ideas.",BossmanRy,83,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:59
606,You're not educating at all by spreading misinformation like this,EmmaSmith0214,83,,0:08,pro-vaccine,0,0,0,1,1,0,,,,,,00:05:50
607,Please vaccinate your kids!,PatelS,83,,0:11,pro-vaccine,0,0,0,1,1,0,,,,,,00:02:04
608,This puts everyone at risk of infection. Please reconsider.,TomM41,83,,0:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:54
609,What are you relieved about? This is really irresponsible.,BeardedMatt,83,,2:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:23
610,Seriously! Such a rip off,sweetpea,84,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:08
611,Don't understand why more people don't understand this. Immunizations are FRAUD!,mateoV,84,,0:11,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:17
612,THANK YOU! Someone had to say it,artisanalways,84,,3:58,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:04
613,Literally countless studies say otherwise. Vaccines WORK.,TomM41,84,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:10:00
614,"This is just.... not true. Even if you get sick, vaccines can lessen the severity of symptoms.",BeardedMatt,84,,4:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:39
615,Where did the sudden distrust in science come from? Spreading lies like these is so irresponsible.,MedicalRyan,84,,4:21,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:04
616,This is exactly why I don't vaccinate! Too many terrible side effects!,mateoV,85,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:26
617,Yes yes yes!! Totally agree.,artisanalways,85,,0:17,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:20
618,"No more vaccines for me, and no regrets!",Jcole9,85,,2:37,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:54
619,"Vaccines go through such thorough tests. They are SAFE, and the keep us safe!",BeardedMatt,85,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:59
620,In what world is a sore arm worse than measles? Everyone is forgetting how common and dangerous disease was before vaccines.,MedicalRyan,85,,0:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:57
621,This is ridiculous. We're talking deadly disease here.,Lisa181818,85,,3:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:03
622,"This is so true, not enough people consider the long-term risks of vaccines.",artisanalways,86,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:57
623,"I'm so thankful we're able to make these decisions for our children instead, gotta keep them safe from immunization!",Jcole9,86,,0:10,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:57
624,"Exactly, the only people making these permanent decision should be parents",mateoV,86,,0:13,anti-vaccine,0,1,1,0,0,1,,,,,,00:10:00
625,Right!!! ,sweetpea,86,,0:19,anti-vaccine,0,1,1,0,0,1,,,,,,00:04:14
626,Say it louder! Mother knows best!!,_aikira_,86,,4:27,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:07
627,I'm sorry when you say long-term effects... you mean protection from life-threatening disease?,MedicalRyan,86,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:06
628,"Doctors know best obviously... just listen to them, they're the ones who went through years of schooling, not you!",jiruletheworld,86,,0:07,pro-vaccine,0,0,0,1,1,0,,,,,,00:05:20
629,"The whole reason the population is as big as it is, is because of vaccinations (that begin at a young age) ",TomM41,86,,0:09,pro-vaccine,0,0,0,1,1,0,,,,,,00:05:21
630,It sounds like you have some serious trust issues.,B.Mike,86,,0:14,pro-vaccine,0,0,0,1,1,0,,,,,,00:07:30
631,"If anti-vaxers have one thing, it's the AUDACITY, thinking they know better than medical professionals.",Lisa181818,86,,0:16,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:24
632,What makes you think someone who has studied medicine for years wouldn't know what's best for all of our healths?,this_jack,86,,3:16,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:02
633,Heck yes! People really need to have some more respect for our medical freedoms,Jcole9,87,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:07
634,Stay strong we're with you!!!,_aikira_,87,,0:11,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:44
635,Amen to that!,fusionfeast,87,,4:48,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:14
636,"Orrrr you could hear what the nurses have to say because yes, they probably do know better than you.",Lisa181818,87,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:14
637,"It may be your choice not to vaccinate, but it affects ALL of us.",this_jack,87,,0:10,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:42
638,"Idk this is really irresponsible, I think some judgement is in order...",PatelS,87,,4:15,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:13
639,"Exactly, we should all be questioning physicians' motives.",_aikira_,88,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:01
640,Get the money out of pharmaceuticals!!! Can't trust doctors these days!,fusionfeast,88,,0:09,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:26
641,"Can't stress this enough, it's not critical to be vaccinated, doctors just want the money.",lee.alexa,88,,3:21,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:11
642,"Doctors swear to do no harm, they want you to get vaccinated because it's what keeps us all safe.",this_jack,88,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:28
643,"It's not hard, just look at the facts ",Lisa181818,88,,0:11,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:43
644,These conspiracy theories are utterly ridiculous.,PatelS,88,,0:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:55
645,This theory is baseless and completely irresponsible. Stop spreading lies like these.,DonDonDonna,88,,2:14,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:57
646,"Ugh, it's honestly so ridiculous how often my kids get sick after getting their flu shots. Such bullshit!",fusionfeast,89,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:44
647,Made the same decision a couple years ago. It's not worth it anymore!,lee.alexa,89,,0:06,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:30
648,"Good for you, gotta go with your gut on these things.",ria_camiii,89,,3:47,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:20
649,"No one is claiming 100% effectiveness for vaccines, I'd recommend against this anti-vax decision.",PatelS,89,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:10
650,"There are experts on this for a reason, getting vaccinated is what's safest for all of us.",DonDonDonna,89,,0:07,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:52
651,"If you're able to be vaccinated, not doing so is kind of selfish just saying...",EmmaSmith0214,89,,4:22,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:06
652,"I have friends like that too, it's so unreasonable.",lee.alexa,90,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:51
653,That must be heartbreaking! I'm so sorry :(,Jcole9,90,,0:05,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:42
654,You should tell her how you feel! She doesn't understand the lies she's been fed all her life about vaccines.,jupiterpride,90,,0:08,anti-vaccine,0,1,1,0,0,1,,,,,,00:03:43
655,Stand up for yourself because if she is really a friend she would understand your views.,breethebaker,90,,0:14,anti-vaccine,0,1,1,0,0,1,,,,,,00:06:28
656,"So sorry to hear that, it can be disappointing to lose a friend over something you're doing for your children.",ria_camiii,90,,0:21,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:47
657,"Your friend should be supporting your decisions (and ideally, be doing the same thing). Sorry to hear about this.",caffeinated,90,,2:55,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:52
658,"That's a smart friend, it's what will keep her own kids healthy.",DonDonDonna,90,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:48
659,Are you serious? This is what you call discrimination? The privilege is overwhelming.,EmmaSmith0214,90,,0:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:39
660,You can't demand freedom of choice and then get upset when people react to those choices. Your behavior is dangerous for everyone.,B.Mike,90,,2:28,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:33
661,I shudder when I think about it. Why won't more people think for themselves!!,ria_camiii,91,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:27
662,The sheep will always do as they're told....,caffeinated,91,,0:19,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:39
663,Proud to say I'm not afraid to question these ingredients. My kids will be injected over my dead body.,earthpulse,91,,0:21,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:12
664,I've stopped looking at it because it makes me so uncomfortable to know the government is treating us like sheep. ,jupiterpride,91,,2:41,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:42
665,It's pretty important to not spread information about something you clearly know nothing about. Those ingredients will not hurt you.,EmmaSmith0214,91,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:11
666,I'm so over this fear mongering. Vaccines are safe and save lives.,B.Mike,91,,0:11,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:04
667,I'd trust the doctors over idiots like you any day ,jiruletheworld,91,,0:14,pro-vaccine,0,0,0,1,1,0,,,,,,00:04:09
668,"People ""go along"" with trusting the experts, I'm proud to say I do the same.",mariaann,91,,3:25,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:21
669,Wake up! Don't let yourself be tracked by the government!,caffeinated,92,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:11
670,Parents! Against! Vaccine! Mandates!,earthpulse,92,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:24
671,I feel sorry for the sheep. Glad to be on the right side of this.,casssssssssie,92,,3:00,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:16
672,"Mandates exist for reasons. In this case, it's to protect all of us.",B.Mike,92,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:57
673,The ignorance in this post is overwhelming....... #provaccine,mariaann,92,,0:06,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:51
674,"Doing the popular (in this case, right) thing to do is nothing to be embarrassed about. Vaccination is the responsible thing to do.",thisisalfie1998,92,,4:51,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:51
675,My babies will have stronger immune systems because of it 🥰,earthpulse,93,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:11
676,Yes! So important!!,casssssssssie,93,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:07
677,"I never get sick, you wanna know why? It's cuz I wasn't sheltered by a helicopter parent and was allowed to get sick, and therefore I have a strong immune system!",breethebaker,93,,4:33,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:54
678,"A vaccine's purpose is to BUILD your immunity, what about that is hard to understand?",mariaann,93,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:03
679,"What is it with people and their aversions to things that aren't ""all-natural"" in healthcare? You telling me you don't eat any processed foods either?",thisisalfie1998,93,,0:09,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:52
680,"Give me a break. I'll take the miracle of healthcare, but thanks.",KatieeeM,93,,3:46,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:46
681,Rt!!!!!!,casssssssssie,94,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:32
682,"Couldn't agree more, what could be worth these risks?",breethebaker,94,,0:12,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:57
683,"I'll never regret not vaccinating my kids for this reason, peace of mind is priceless.",kittycatbakes,94,,2:15,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:24
684,"You're against ALL risk? That's not a great look, the benefits of vaccines way outweight any overhyped ""risks""",thisisalfie1998,94,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:47
685,How are they harmful exactly?,EmmaSmith0214,94,,0:09,pro-vaccine,0,0,0,1,1,0,,,,,,00:01:54
686,"This is a gross exaggeration. Vaccines are safe, and I don't appreciate the spread of misinformation.",KatieeeM,94,,0:15,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:08
687,"Seriously, where did people start getting the idea that vaccines are so very risky?? It's all such a huge baseless conspiracy.",TimBJenkins,94,,4:16,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:23
688,More people need to be asking questions about this,breethebaker,95,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:27
689,Injecting us with sugar water and expecting us to believe it's doing anything besides making them richer. Wake up!!!,kittycatbakes,95,,0:06,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:33
690,"Big pharma runs so deep, no way I can trust their shots.",localewis,95,,0:13,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:10
691,All credible medical experts recommend getting vaccinated. Don't be fooled by distractions like these.,caffeinated,95,,3:24,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:44
692,"This information is dangerous and misleading, and the worst part is I think you know it. Enough of this anti-vax crap.",TimBJenkins,95,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:58
693,"Can we stop with these made up ideas, please? Who the heck is ""Big Pharma"" anyways? Just a huge conspiracy theory if you ask me.",sweetietooth,95,,0:06,pro-vaccine,0,0,0,1,1,0,,,,,,00:04:09
694,"I'll stick with the experts on this one, but thanks.",jiruletheworld,95,,2:43,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:50
695,"Exactly! Can't believe people actually believe this ""science""!!",kittycatbakes,96,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:10
696,"This science is honestly the logic of a four year old.... If I wanted the virus in me, I would go catch the illness.",localewis,96,,0:13,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:09
697,"When the side effects are worse than the actual virus, forget about it! ",earthpulse,96,,0:18,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:54
698,Ugh they must think we're stupid if we're going to blindly get vaccines that HURT US! ,casssssssssie,96,,4:23,anti-vaccine,0,1,1,0,0,1,,,,,,0:04:09
699,People see the big shiny reward of immunity and are completely blind to the price.,mariaann,96,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:40
700,"Yes, because clearly doctors are hiding something by literally telling us about and disclosing all potential side effects. There is no conspiracy here.",TimBJenkins,96,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:11
701,"Doctors have nothing to hide, and they aren't hiding anything. You know why? Because vaccines WORK.",jiruletheworld,96,,0:08,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:42
702,Literally when has any doctor ever tried to hide the disclosure stuff.... this is such bad disinformation.,ayoitsayo,96,,3:29,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:25
703,Amen! People gotta stay out of my business fr,localewis,97,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:43
