id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform
469,"Greedy, untrustworthy doctors everywhere, be careful everyone!",coachmatthews,64,,00:02:09,anti-vaccine,0,1,1,0,0,1,
470,That's right! More people need to be doing their own research!,wiz_khaleesi,64,,00:00:47,anti-vaccine,0,1,1,0,0,1,1
471,This is insulting to physicians everywhere. Doctors are the experts here.,lucyinurdreams,64,,00:04:15,pro-vaccine,0,0,0,1,1,0,0
472,"Yeah, I reject this. I trust science, vaccines WORK.",chefricky,64,,00:03:39,pro-vaccine,0,0,0,1,1,0,0
473,This fear mongering is so dangerous. Please stop the irresponsible spred of misinformation.,clayton.myers,64,,00:02:05,pro-vaccine,0,0,0,1,1,0,0
474,STOP VACCINE MANDATES!!!,tastyrobot,65,,00:02:09,anti-vaccine,0,1,1,0,0,1,1
475,Someone's gotta convince these sheep to start thinking for themselves. Wake up! Vaccines can KILL YOU!,wiz_khaleesi,65,,00:01:03,anti-vaccine,0,1,1,0,0,1,1
476,Haven't vaccinated in years! Can't stress this enough!,cavsforever,65,,00:05:12,anti-vaccine,0,1,1,0,0,1,1
477,"Do you base any of your opinions on fact, or do you just spout misinformation into the social media void?",chefricky,65,,00:07:53,pro-vaccine,0,0,0,1,1,0,0
478,"Almost every expert disagrees with you. Vaccines are safe, and save lives.",clayton.myers,65,,00:03:38,pro-vaccine,0,0,0,1,1,0,0
479,"Where's your evidence? To everyone reading this, don't believe every random thing you see on the internet.",aleeboi,65,,00:04:28,pro-vaccine,0,0,0,1,1,0,0
480,For real!!! Medicine you don't understand is the most dangerous type.,wiz_khaleesi,66,,00:02:09,anti-vaccine,0,1,1,0,0,1,1
481,People are honestly so clueless. Can't believe they still blindly accept vaccines.,cavsforever,66,,00:08:33,anti-vaccine,0,1,1,0,0,1,1
482,I will never let doctors inject these terrible viruses into my body. No thank you!,tastyrobot,66,,00:00:47,anti-vaccine,0,1,1,0,0,1,
483,This this this!!!,tacoguy,66,,00:01:57,pro-vaccine,0,0,0,1,1,0,0
484,"I'm okay with this for the same reason I don't inject most things I east into my blood stream. I understand biology is not that simple, and I am not the expert here.",clayton.myers,66,,00:07:03,pro-vaccine,0,0,0,1,1,0,0
485,"You do realize if it weren't for vaccines, most of us wouldn't be alive today, right?",chefricky,66,,00:02:09,pro-vaccine,0,0,0,1,1,0,
486,"Are you a vaccine expert? No? Then your opinions have no weight to me, and shouldn't to anyone else either.",aleeboi,66,,00:09:42,anti-vaccine,0,1,1,0,0,1,1
487,"Please do research on how vaccines work, then you would know there's no reason to be afraid of vaccine ingredients",mewranda,66,,00:05:42,anti-vaccine,0,1,1,0,0,1,1
488,Omg that's so scary!!! Hope everything works out,cavsforever,67,,00:06:16,anti-vaccine,0,1,1,0,0,1,1
489,"Oh wow, just talk to him I'm sure he'll come around. So many reasons not to get vaccinated.",tacoguy,67,,00:02:48,pro-vaccine,0,0,0,1,1,0,0
490,Try teach him about some natural alternatives!! There are a LOT of other options besides the shot.,Ataylor,67,,00:02:15,pro-vaccine,0,0,0,1,1,0,0
491,"Good for him, getting vaccinated is the responsible thing to do.",aleeboi,67,,00:00:13,pro-vaccine,0,0,0,1,1,0,0
492,"Why do you need to convince him to stop? If he's been getting it for years and he's been fine, then what is the issue. ",clayton.myers,67,,00:04:17,pro-vaccine,0,0,0,1,1,0,
493,You should respect his wishes. He is clearly the smart one in this pair. ,masterchefterry,67,,00:05:59,pro-vaccine,0,0,0,1,1,0,
494,"Maybe you should try listening to him instead, it would be great if he could help you understand why getting vaccinated is so important.",mewranda,67,,00:02:33,anti-vaccine,0,1,1,0,0,1,1
495,"I implore you to follow your husband on this one, you should really be getting your shots.",masterchefterry,67,,00:09:06,pro-vaccine,0,0,0,1,1,0,0
496,"Same here! The facts speak for themselves, vaccines are no good.",tacoguy,68,,00:04:38,pro-vaccine,0,0,0,1,1,0,0
497,Exactly! Wish more people would just accept and respect our right to not get vaccines.,Ataylor,68,,00:03:09,pro-vaccine,0,0,0,1,1,0,0
498,The side effects are seriously so bad!! Totally with you on this.,Sue_S,68,,00:08:52,anti-vaccine,0,1,1,0,0,1,1
499,What research exactloy? All studies show vaccines are safe and save lives.,mewranda,68,,00:07:18,anti-vaccine,0,1,1,0,0,1,1
500,"I would like to see some sources, please. (not that you actually have any real ones)",aleeboi,68,,00:08:18,pro-vaccine,0,0,0,1,1,0,
501,"Reading random social media posts that agree with your opinions does not count as ""research.""",masterchefterry,68,,00:01:32,pro-vaccine,0,0,0,1,1,0,0
502,"If you can't back up your claims in an argument, that's probably a good sign you don't have much to stand on.",gwenfromtheblock,68,,00:00:49,pro-vaccine,0,0,0,1,1,0,0
503,Mother knows best!!! So over people telling me how to raise my kids.,Ataylor,69,,00:04:43,pro-vaccine,0,0,0,1,1,0,0
504,Good on you for protecting your kids! ,cavsforever,69,,00:00:13,anti-vaccine,0,1,1,0,0,1,
505,"So true, can't trust doctors with all this money involved!!!",Sue_S,69,,00:09:55,anti-vaccine,0,1,1,0,0,1,1
506,STOP BIG PHARMA!,karenM,69,,00:02:39,anti-vaccine,0,1,1,0,0,1,1
507,"Doctors are literal experts, and you have the audactiy to think you know better?",masterchefterry,69,,00:08:18,pro-vaccine,0,0,0,1,1,0,0
508,Why do people become parents and suddenly think they're experts on kids. You have a lot to learn. ,clayton.myers,69,,00:05:59,pro-vaccine,0,0,0,1,1,0,
509,"You have to stop spreading this baseless fear, helping people is a doctor's literal career.",gwenfromtheblock,69,,00:00:47,pro-vaccine,0,0,0,1,1,0,0
510,"I mean, in terms of your kids' health, doctors DO know better.",fgonzalez,69,,00:04:17,anti-vaccine,0,1,1,0,0,1,1
511,THANK YOU!,Sue_S,70,,00:05:23,anti-vaccine,0,1,1,0,0,1,1
512,"Snowflakes will deny this, unwilling to face the facts.",karenM,70,,00:05:58,anti-vaccine,0,1,1,0,0,1,1
513,No way I will risk myself or my family for a stupid shot with this kind of risk! ,ancho-n-cayenne,70,,00:02:25,anti-vaccine,0,1,1,0,0,1,
514,"Big Pharma doesn't want us to know this, so they revoked the doctor's medical license because he was speaking facts! Too much for Big Pharma too handle. ",bblueberryy,70,,00:03:10,anti-vaccine,0,1,1,0,0,1,
515,"Can't stress enough, the vaccine side effects will never be worth it.",jake_turk,70,,00:05:59,pro-vaccine,0,0,0,1,1,0,0
516,The doctor behind this study literally  LOST HIS MEDICAL LICENSE.  This is baseless.,gwenfromtheblock,70,,00:03:25,anti-vaccine,0,1,1,0,0,1,1
517,NO THEY AREN'T,hockeymom101,70,,0:04:26,pro-vaccine,0,0,0,1,1,0,
518,"This isn't even true, I am so tired of hearing this bogus argument against vaccines. EDUCATE YOURSELF.",jiruletheworld,70,,0:02:27,pro-vaccine,0,0,0,1,1,0,
519,"Your desparation is showing, this claim has been debunked soooooo many times.",fgonzalez,70,,00:06:22,pro-vaccine,0,0,0,1,1,0,0
520,"The only way to describe this post is disgustingly irresponsible. This has been proven to be untrue so many times, and spreading this message more is intentionally misleading.",VitaBOCA,70,,00:09:13,pro-vaccine,0,0,0,1,1,0,0
521,Agreed! People are so illogical,karenM,71,,00:06:57,pro-vaccine,0,0,0,1,1,0,0
522,"Exactly, it's so ridiculous. Vaccines are so dangerous but parents will ignore that if they don't have to take care of sick kids.",jake_turk,71,,00:07:18,anti-vaccine,0,1,1,0,0,1,1
523,This!!! Time for more people to be questioning vaccines,snowbird,71,,00:03:10,anti-vaccine,0,1,1,0,0,1,1
524,can't believe we live in a world where parents won't immunize their kids against deadly diseases based on some baseless claims they read on the internet.,fgonzalez,71,,00:02:36,anti-vaccine,0,1,1,0,0,1,1
525,"You can literally look up what's in a shot. And how it works. No one's hiding anything, you're just afraid of what you don't understand.",VitaBOCA,71,,00:01:34,pro-vaccine,0,0,0,1,1,0,0
526,"Yes, because that's the sane thing to do. ",TomM41,71,,00:03:10,pro-vaccine,0,0,0,1,1,0,
527,"The flu can be life threatening to people with certain conditions. That's why we should all get vaccinated, to protect them.",EZpz,71,,00:00:04,pro-vaccine,0,0,0,1,1,0,0
528,More of us should be thinking for ourselves!!,jake_turk,72,,00:02:17,anti-vaccine,0,1,1,0,0,1,1
529,Questions everything!! Doctors want you to be vaccinated so they get more money!,snowbird,72,,00:05:23,anti-vaccine,0,1,1,0,0,1,1
530,Wish more people had this mindset. Vaccines aren't for everyone!,difrad,72,,00:02:25,anti-vaccine,0,1,1,0,0,1,1
531,"Or maybe, doctors are the experts here, and they encourage vaccines because they keep us all safe.",VitaBOCA,72,,00:00:50,pro-vaccine,0,0,0,1,1,0,0
532,"Yeah, I do what's best for all of us. And that's getting vaccinated.",EZpz,72,,00:05:40,pro-vaccine,0,0,0,1,1,0,0
533,"This claim is ridiculous, yeah doctors make money from their career, but their career is to HELP PEOPLE.",MrShazam,72,,00:07:26,pro-vaccine,0,0,0,1,1,0,0
534,Love to hear this! Your kids will thank you for this :),snowbird,73,,00:07:12,anti-vaccine,0,1,1,0,0,1,1
535,Natural remedies create strong bodies and strong minds!!!,difrad,73,,00:04:24,anti-vaccine,0,1,1,0,0,1,1
536,you are going to be a great parent! :),karenM,73,,00:03:43,anti-vaccine,0,1,1,0,0,1,
537,"Been doing the same my whole life, absolutely no regrets :)",M.Kapadia92,73,,00:07:50,pro-vaccine,0,0,0,1,1,0,0
538,"Count yourself lucky, some people have health issues and can't get vaccinated. That's why we all should, to protect them.",EZpz,73,,00:00:50,pro-vaccine,0,0,0,1,1,0,0
539,"You really have to get over this idea that vaccines are ""unnatural"". They build immunity by training your body against the virus.",MrShazam,73,,00:03:43,pro-vaccine,0,0,0,1,1,0,0
540,"Your experience does not speak for all. Vaccines save lives, we should all take them seriously.",JuniperQ,73,,00:09:05,anti-vaccine,0,1,1,0,0,1,1
541,Oh no! Time to sit her down and explain all the reasons you've been making this decision for her.,difrad,74,,00:08:01,anti-vaccine,0,1,1,0,0,1,1
542,Best of luck with this! Just keep reminding her you have her best interests in mind.,M.Kapadia92,74,,00:05:03,anti-vaccine,0,1,1,0,0,1,1
543,"Oh wow, hopefully she'll turn around on this",SnakeCharmer,74,,00:03:59,pro-vaccine,0,0,0,1,1,0,0
544,"Good for her, you should be proud that she's turning into an adult and thinks for herself. Getting vaccinated is the smart thing to do.",MrShazam,74,,00:09:31,pro-vaccine,0,0,0,1,1,0,0
545,It's really great to see your daughter making a responsible decision like this.,JuniperQ,74,,00:06:45,pro-vaccine,0,0,0,1,1,0,0
546,Love that for her! Vaccines keep all of us safe.,csmbx1,74,,00:00:34,anti-vaccine,0,1,1,0,0,1,1
547,THAT'S RIGHT! NO MORE VACCINES!,M.Kapadia92,75,,00:07:35,anti-vaccine,0,1,1,0,0,1,1
548,Couldn't agree more! We gotta stand up for our rights,SnakeCharmer,75,,00:02:05,anti-vaccine,0,1,1,0,0,1,1
549,I'll stand by this for my entire life!,livelaughlove,75,,00:04:32,pro-vaccine,0,0,0,1,1,0,0
550,"Your decisions affect everyone thought, please consider that when you make decisions like this.",youngcunningham,75,,00:08:54,pro-vaccine,0,0,0,1,1,0,0
551,"This thought process is so inconsiderate of everyone who can't get vaccinated, and relies on the rest of us being responsible.",generic-joe,75,,00:07:14,pro-vaccine,0,0,0,1,1,0,0
552,"I don't know what your fear is based on, please do research and realize all the evidence supports the safety of vaccines.",Smitty12,75,,00:02:24,anti-vaccine,0,1,1,0,0,1,1
553,"People will believe anything they hear from ""experts"", so glad we take the time to inform ourselves!",SnakeCharmer,76,,00:00:45,anti-vaccine,0,1,1,0,0,1,1
554,Same here! Couldn't feel better about my decision :),livelaughlove,76,,00:04:58,anti-vaccine,0,1,1,0,0,1,1
555,Cheers to that!,bblueberryy,76,,00:01:03,pro-vaccine,0,0,0,1,1,0,0
556,My guess is you're only doing research with sources that confirm your beliefs. That's not research.,generic-joe,76,,00:04:24,pro-vaccine,0,0,0,1,1,0,0
557,"Where you get your information is far more important than just how much information you've read. If your sources aren't credible, then who cares?",csmbx1,76,,00:08:01,pro-vaccine,0,0,0,1,1,0,
558,"Ill-informed? You're seriously calling experts, who have spent YEARS research and studying these exact topics, ill-informed? The audacity...",Smitty12,76,,00:04:47,anti-vaccine,0,1,1,0,0,1,1
559,There's nothing high and mighty about putting everyone at risk by not getting vaccinated.,hockeymom101,76,,00:00:50,anti-vaccine,0,1,1,0,0,1,1
560,"Snowflakes will accept anything ""professional experts"" tell them 🙄",livelaughlove,77,,00:04:02,anti-vaccine,0,1,1,0,0,1,1
561,"This!! The side effects are terrifying, and that's just what we already know...",bblueberryy,77,,00:02:50,pro-vaccine,0,0,0,1,1,0,0
562,"When I started asking my doctor WHY certain ingredients were in vaccines, he couldn't give me an answer. There's no excuse for that!",NoahM1121,77,,00:02:16,anti-vaccine,0,1,1,0,0,1,
563,"If only people did more research, they would never get a vaccine again",artisanalways,77,,00:03:45,anti-vaccine,0,1,1,0,0,1,
564,More people need to hear this!,ancho-n-cayenne,77,,00:07:46,anti-vaccine,0,1,1,0,0,1,1
565,You can find a list of vaccine ingredients. No one is trying to hide anything.,Smitty12,77,,00:09:01,anti-vaccine,0,1,1,0,0,1,1
566,"Listening to experts does not make you a sheep, it makes you reasonable and informed.",hockeymom101,77,,00:08:27,anti-vaccine,0,1,1,0,0,1,1
567,"Any physician would be willing to answer your questions. They have reasonable answers, because vaccines are thoroughly tested for safety.",SamTHEMAN,77,,00:03:45,pro-vaccine,0,0,0,1,1,0,0
568,Nothing but natural immunity in my household 😊,bblueberryy,78,,00:02:16,pro-vaccine,0,0,0,1,1,0,0
569,Some parents will do anything if it means protecting their kid from some sniffles 🙄,ancho-n-cayenne,78,,00:07:13,pro-vaccine,0,0,0,1,1,0,0
570,"Tell me about it, all those chemicals in the vaccines?? No way that doesn't make our bodies weaker",john73,78,,00:06:53,anti-vaccine,0,1,1,0,0,1,1
571,Vaccines will literally train your children's bodies to fight illness. They are the definition of making us stronger.,hockeymom101,78,,00:08:08,anti-vaccine,0,1,1,0,0,1,1
572,I will never understand this logic. Vaccines save lives.,SamTHEMAN,78,,00:09:43,anti-vaccine,0,1,1,0,0,1,1
573,How in the world are you drawing the conclusion vaccines make people weak? This is baseless and irresponsible to post.,Marcymaniac,78,,00:05:35,pro-vaccine,0,0,0,1,1,0,0
574,Wake up and think for yourselves! Vaccines have to go!,ancho-n-cayenne,79,,00:03:59,pro-vaccine,0,0,0,1,1,0,0
575,this this this! rt!!!!!,john73,79,,00:09:53,pro-vaccine,0,0,0,1,1,0,0
576,#StopBigPharma 😤🙅‍♀️,coachmatthews,79,,00:09:56,anti-vaccine,0,1,1,0,0,1,1
577,Push back on more people getting vaccinated? But that's a good thing in my book......,SamTHEMAN,79,,00:02:33,anti-vaccine,0,1,1,0,0,1,1
578,"Vaccines save lives, yeah I think I'll pass on the resistance",Marcymaniac,79,,00:03:02,anti-vaccine,0,1,1,0,0,1,1
579,Your ignorance is showing 🙄,HP743,79,,00:05:04,pro-vaccine,0,0,0,1,1,0,0
580,So disturbing 😔,john73,80,,00:04:55,pro-vaccine,0,0,0,1,1,0,0
581,"I can hardly bear to look at that list, but it's so importan we all be informed.",coachmatthews,80,,00:04:57,pro-vaccine,0,0,0,1,1,0,0
582,This is so scary to look at. ,Jcole9,80,,00:07:13,anti-vaccine,0,1,1,0,0,1,
583,"It's honestly terrifying, think you for bringing light to this.",NoahM1121,80,,00:00:59,anti-vaccine,0,1,1,0,0,1,1
584,"All vaccine ingredients serve an important, danger-free purpose. If you are not a vaccine expert, I suggest not sharing your ill-informed opinion.",Marcymaniac,80,,00:05:52,anti-vaccine,0,1,1,0,0,1,1
585,these are literally all safe ingredients that appear in food you consume all the time without realizing it.,HP743,80,,00:09:14,pro-vaccine,0,0,0,1,1,0,0
586,"This is not a proper argument, if we're not scientists we can't possibly judge what ingredients are good or bad, but I will trust other scientists to put the good ones in vaccines! I suggest you do too. ",SamTHEMAN,80,,00:03:02,pro-vaccine,0,0,0,1,1,0,
587,please stop the baseless internet fear mongering. Vaccines are so important.,southerngirlCel,80,,00:03:27,pro-vaccine,0,0,0,1,1,0,0
588,Plenty of Vitamin C!!! Much safer way to prevent flu symptoms,coachmatthews,81,,00:01:49,anti-vaccine,0,1,1,0,0,1,1
589,Following! Thanks for compiling this!,NoahM1121,81,,00:09:14,anti-vaccine,0,1,1,0,0,1,1
590,SUCH a good idea!,MannyDL34,81,,00:03:22,anti-vaccine,0,1,1,0,0,1,1
591,My suggestion is you all do the responsible thing and get vaccinated.,HP743,81,,00:04:52,pro-vaccine,0,0,0,1,1,0,0
592,"Hello, it's really important to me that you all know that natural ""alternatives"" will not prevent deadly diseases the way vaccines will.",southerngirlCel,81,,00:00:55,pro-vaccine,0,0,0,1,1,0,0
593,"Please reconsider, vaccines are a miracle and save lives.",BossmanRy,81,,00:07:10,pro-vaccine,0,0,0,1,1,0,0
594,Here for the natural immunity! Build those strong bodies!!!,NoahM1121,82,,00:01:29,anti-vaccine,0,1,1,0,0,1,1
595,Couldn't agree more!,MannyDL34,82,,00:08:56,anti-vaccine,0,1,1,0,0,1,1
596,"That's right, vaccines are NO GOOD! Inhibiting our strength!",sweetpea,82,,00:04:39,anti-vaccine,0,1,1,0,0,1,1
597,"Vaccines ENHANCE your immune strength, people.",southerngirlCel,82,,00:03:05,pro-vaccine,0,0,0,1,1,0,0
598,"Scientists have offered us brilliant solutions to terrible disease, and you're really gonna just look away.",BossmanRy,82,,00:04:53,pro-vaccine,0,0,0,1,1,0,0
599,More like stop compromising your child's immune system by NOT vaccinating ,HP743,82,,00:00:55,pro-vaccine,0,0,0,1,1,0,
600,Don't put your kids at risk like this... ,this_jack,82,,00:03:27,pro-vaccine,0,0,0,1,1,0,
601,"This mindset is baseless, and also really harmful to those who rely on the rest of us getting vaccinated.",TomM41,82,,00:08:01,anti-vaccine,0,1,1,0,0,1,1
602,"Same! So glad I got through that dilemma, so much less anxiety when I don't vaccinate.",MannyDL34,83,,00:08:40,anti-vaccine,0,1,1,0,0,1,1
603,Good for you! Just keep sharing your positive experience I'm sure more will get on board!,sweetpea,83,,00:05:50,pro-vaccine,0,0,0,1,1,0,0
604,"I've been thinking about this for a long time, and I think I'm ready to start doing the same! The risks of vaccines just stress me out so much",mateoV,83,,00:03:33,pro-vaccine,0,0,0,1,1,0,0
605,"There is no benefit, please stop spreading these ideas.",BossmanRy,83,,00:04:59,pro-vaccine,0,0,0,1,1,0,0
606,You're not educating at all by spreading misinformation like this,EmmaSmith0214,83,,00:05:50,pro-vaccine,0,0,0,1,1,0,
607,Please vaccinate your kids!,PatelS,83,,00:02:04,pro-vaccine,0,0,0,1,1,0,
608,This puts everyone at risk of infection. Please reconsider.,TomM41,83,,00:04:54,anti-vaccine,0,1,1,0,0,1,1
609,What are you relieved about? This is really irresponsible.,BeardedMatt,83,,00:01:23,pro-vaccine,0,0,0,1,1,0,0
610,Seriously! Such a rip off,sweetpea,84,,00:03:08,pro-vaccine,0,0,0,1,1,0,0
611,Don't understand why more people don't understand this. Immunizations are FRAUD!,mateoV,84,,00:06:17,pro-vaccine,0,0,0,1,1,0,0
612,THANK YOU! Someone had to say it,artisanalways,84,,00:02:04,anti-vaccine,0,1,1,0,0,1,1
613,Literally countless studies say otherwise. Vaccines WORK.,TomM41,84,,00:10:00,anti-vaccine,0,1,1,0,0,1,1
614,"This is just.... not true. Even if you get sick, vaccines can lessen the severity of symptoms.",BeardedMatt,84,,00:01:39,anti-vaccine,0,1,1,0,0,1,1
615,Where did the sudden distrust in science come from? Spreading lies like these is so irresponsible.,MedicalRyan,84,,00:04:04,pro-vaccine,0,0,0,1,1,0,0
616,This is exactly why I don't vaccinate! Too many terrible side effects!,mateoV,85,,00:07:26,pro-vaccine,0,0,0,1,1,0,0
617,Yes yes yes!! Totally agree.,artisanalways,85,,00:05:20,pro-vaccine,0,0,0,1,1,0,0
618,"No more vaccines for me, and no regrets!",Jcole9,85,,00:00:54,anti-vaccine,0,1,1,0,0,1,1
619,"Vaccines go through such thorough tests. They are SAFE, and the keep us safe!",BeardedMatt,85,,00:03:59,anti-vaccine,0,1,1,0,0,1,1
620,In what world is a sore arm worse than measles? Everyone is forgetting how common and dangerous disease was before vaccines.,MedicalRyan,85,,00:06:57,anti-vaccine,0,1,1,0,0,1,1
621,This is ridiculous. We're talking deadly disease here.,Lisa181818,85,,00:01:03,pro-vaccine,0,0,0,1,1,0,0
622,"This is so true, not enough people consider the long-term risks of vaccines.",artisanalways,86,,00:09:57,pro-vaccine,0,0,0,1,1,0,0
623,"I'm so thankful we're able to make these decisions for our children instead, gotta keep them safe from immunization!",Jcole9,86,,00:02:57,pro-vaccine,0,0,0,1,1,0,0
624,"Exactly, the only people making these permanent decision should be parents",mateoV,86,,00:10:00,anti-vaccine,0,1,1,0,0,1,
625,Right!!! ,sweetpea,86,,00:04:14,anti-vaccine,0,1,1,0,0,1,
626,Say it louder! Mother knows best!!,_aikira_,86,,00:00:07,anti-vaccine,0,1,1,0,0,1,1
627,I'm sorry when you say long-term effects... you mean protection from life-threatening disease?,MedicalRyan,86,,00:09:06,pro-vaccine,0,0,0,1,1,0,0
628,"Doctors know best obviously... just listen to them, they're the ones who went through years of schooling, not you!",jiruletheworld,86,,00:05:20,pro-vaccine,0,0,0,1,1,0,
629,"The whole reason the population is as big as it is, is because of vaccinations (that begin at a young age) ",TomM41,86,,00:05:21,pro-vaccine,0,0,0,1,1,0,
630,It sounds like you have some serious trust issues.,B.Mike,86,,00:07:30,pro-vaccine,0,0,0,1,1,0,
631,"If anti-vaxers have one thing, it's the AUDACITY, thinking they know better than medical professionals.",Lisa181818,86,,00:04:24,anti-vaccine,0,1,1,0,0,1,1
632,What makes you think someone who has studied medicine for years wouldn't know what's best for all of our healths?,this_jack,86,,00:04:02,anti-vaccine,0,1,1,0,0,1,1
633,Heck yes! People really need to have some more respect for our medical freedoms,Jcole9,87,,00:01:07,pro-vaccine,0,0,0,1,1,0,0
634,Stay strong we're with you!!!,_aikira_,87,,00:03:44,pro-vaccine,0,0,0,1,1,0,0
635,Amen to that!,fusionfeast,87,,00:03:14,pro-vaccine,0,0,0,1,1,0,0
636,"Orrrr you could hear what the nurses have to say because yes, they probably do know better than you.",Lisa181818,87,,00:04:14,anti-vaccine,0,1,1,0,0,1,1
637,"It may be your choice not to vaccinate, but it affects ALL of us.",this_jack,87,,00:01:42,anti-vaccine,0,1,1,0,0,1,1
638,"Idk this is really irresponsible, I think some judgement is in order...",PatelS,87,,00:05:13,anti-vaccine,0,1,1,0,0,1,1
639,"Exactly, we should all be questioning physicians' motives.",_aikira_,88,,00:07:01,pro-vaccine,0,0,0,1,1,0,0
640,Get the money out of pharmaceuticals!!! Can't trust doctors these days!,fusionfeast,88,,00:04:26,pro-vaccine,0,0,0,1,1,0,0
641,"Can't stress this enough, it's not critical to be vaccinated, doctors just want the money.",lee.alexa,88,,00:03:11,pro-vaccine,0,0,0,1,1,0,0
642,"Doctors swear to do no harm, they want you to get vaccinated because it's what keeps us all safe.",this_jack,88,,00:06:28,anti-vaccine,0,1,1,0,0,1,1
643,"It's not hard, just look at the facts ",Lisa181818,88,,00:03:43,pro-vaccine,0,0,0,1,1,0,
644,These conspiracy theories are utterly ridiculous.,PatelS,88,,00:04:55,anti-vaccine,0,1,1,0,0,1,1
645,This theory is baseless and completely irresponsible. Stop spreading lies like these.,DonDonDonna,88,,00:09:57,pro-vaccine,0,0,0,1,1,0,0
646,"Ugh, it's honestly so ridiculous how often my kids get sick after getting their flu shots. Such bullshit!",fusionfeast,89,,00:03:44,pro-vaccine,0,0,0,1,1,0,0
647,Made the same decision a couple years ago. It's not worth it anymore!,lee.alexa,89,,00:07:30,pro-vaccine,0,0,0,1,1,0,0
648,"Good for you, gotta go with your gut on these things.",ria_camiii,89,,00:05:20,anti-vaccine,0,1,1,0,0,1,1
649,"No one is claiming 100% effectiveness for vaccines, I'd recommend against this anti-vax decision.",PatelS,89,,00:04:10,anti-vaccine,0,1,1,0,0,1,1
650,"There are experts on this for a reason, getting vaccinated is what's safest for all of us.",DonDonDonna,89,,00:04:52,anti-vaccine,0,1,1,0,0,1,1
651,"If you're able to be vaccinated, not doing so is kind of selfish just saying...",EmmaSmith0214,89,,00:02:06,pro-vaccine,0,0,0,1,1,0,0
652,"I have friends like that too, it's so unreasonable.",lee.alexa,90,,00:04:51,pro-vaccine,0,0,0,1,1,0,0
653,That must be heartbreaking! I'm so sorry :(,Jcole9,90,,00:01:42,anti-vaccine,0,1,1,0,0,1,
654,You should tell her how you feel! She doesn't understand the lies she's been fed all her life about vaccines.,jupiterpride,90,,00:03:43,anti-vaccine,0,1,1,0,0,1,
655,Stand up for yourself because if she is really a friend she would understand your views.,breethebaker,90,,00:06:28,anti-vaccine,0,1,1,0,0,1,
656,"So sorry to hear that, it can be disappointing to lose a friend over something you're doing for your children.",ria_camiii,90,,00:07:47,anti-vaccine,0,1,1,0,0,1,1
657,"Your friend should be supporting your decisions (and ideally, be doing the same thing). Sorry to hear about this.",caffeinated,90,,00:05:52,pro-vaccine,0,0,0,1,1,0,0
658,"That's a smart friend, it's what will keep her own kids healthy.",DonDonDonna,90,,00:02:48,pro-vaccine,0,0,0,1,1,0,0
659,Are you serious? This is what you call discrimination? The privilege is overwhelming.,EmmaSmith0214,90,,00:02:39,pro-vaccine,0,0,0,1,1,0,0
660,You can't demand freedom of choice and then get upset when people react to those choices. Your behavior is dangerous for everyone.,B.Mike,90,,00:00:33,anti-vaccine,0,1,1,0,0,1,1
661,I shudder when I think about it. Why won't more people think for themselves!!,ria_camiii,91,,00:07:27,anti-vaccine,0,1,1,0,0,1,1
662,The sheep will always do as they're told....,caffeinated,91,,00:01:39,anti-vaccine,0,1,1,0,0,1,1
663,Proud to say I'm not afraid to question these ingredients. My kids will be injected over my dead body.,earthpulse,91,,00:03:12,pro-vaccine,0,0,0,1,1,0,0
664,I've stopped looking at it because it makes me so uncomfortable to know the government is treating us like sheep. ,jupiterpride,91,,00:01:42,anti-vaccine,0,1,1,0,0,1,
665,It's pretty important to not spread information about something you clearly know nothing about. Those ingredients will not hurt you.,EmmaSmith0214,91,,00:03:11,pro-vaccine,0,0,0,1,1,0,0
666,I'm so over this fear mongering. Vaccines are safe and save lives.,B.Mike,91,,00:07:04,anti-vaccine,0,1,1,0,0,1,1
667,I'd trust the doctors over idiots like you any day ,jiruletheworld,91,,00:04:09,pro-vaccine,0,0,0,1,1,0,
668,"People ""go along"" with trusting the experts, I'm proud to say I do the same.",mariaann,91,,00:05:21,anti-vaccine,0,1,1,0,0,1,1
669,Wake up! Don't let yourself be tracked by the government!,caffeinated,92,,00:08:11,pro-vaccine,0,0,0,1,1,0,0
670,Parents! Against! Vaccine! Mandates!,earthpulse,92,,00:02:24,pro-vaccine,0,0,0,1,1,0,0
671,I feel sorry for the sheep. Glad to be on the right side of this.,casssssssssie,92,,00:06:16,pro-vaccine,0,0,0,1,1,0,0
672,"Mandates exist for reasons. In this case, it's to protect all of us.",B.Mike,92,,00:05:57,anti-vaccine,0,1,1,0,0,1,1
673,The ignorance in this post is overwhelming....... #provaccine,mariaann,92,,00:09:51,anti-vaccine,0,1,1,0,0,1,1
674,"Doing the popular (in this case, right) thing to do is nothing to be embarrassed about. Vaccination is the responsible thing to do.",thisisalfie1998,92,,00:02:51,anti-vaccine,0,1,1,0,0,1,1
675,My babies will have stronger immune systems because of it 🥰,earthpulse,93,,00:07:11,pro-vaccine,0,0,0,1,1,0,0
676,Yes! So important!!,casssssssssie,93,,00:00:07,pro-vaccine,0,0,0,1,1,0,0
677,"I never get sick, you wanna know why? It's cuz I wasn't sheltered by a helicopter parent and was allowed to get sick, and therefore I have a strong immune system!",breethebaker,93,,00:01:54,pro-vaccine,0,0,0,1,1,0,0
